company_name,website,project_sector,project_state,industry,segment
"Eli Lilly",https://lilly.com,"Life Sciences",Texas,,
"Modine Manufacturing",https://modine.com,"",,,
"Graham Corp",https://grahamcorp.com,"",New York,,
"Corning Optical Communications",,"Tech/Fiber",North Carolina,,
"KettenWulf",,"Advanced Mfg",Alabama,,
"Bad Boy Mowers",,"Advanced Mfg",Alabama,,
"Aquatic Leisure Technologies",,"Advanced Mfg",Alabama,,
"SmartWiz",,"Tech/AI",Alabama,,
"ArcelorMittal",,"Steel/Metals",Alabama,,
"Diageo",,"Food & Bev",Alabama,,
"Wellborn Cabinet",,"Advanced Mfg",Alabama,,
"Owens Corning",,"Advanced Mfg",Alabama,,
"Fratco",,"Advanced Mfg",Alabama,,
"U.S. Space Command",,"Defense/Aerospace",Alabama,,
"Performance Drone Works",,"Defense/Aerospace",Alabama,,
"Core Scientific",,"Data Center",Alabama,,
"Samkwang",,"Automotive",Alabama,,
"CPT America",,"Automotive",Alabama,,
"International Paper",,"Paper/Pulp",Alabama,,
"Georgia Pacific/Alabama River Cellulose",,"Paper/Pulp",Alabama,,
"Meta/Dotier",,"Data Center",Alabama,,
"Kronospan",,"Wood Products",Alabama,,
"Pilgrims",,"Food/Poultry",Alabama,,
"DAS North America",,"Automotive",Alabama,,
"Evonik",,"Chemicals",Alabama,,
"U.S. Steel",,"Steel/Metals",Alabama,,
"SSAB",,"Steel",Alabama,,
"Constellium",,"Aluminum",Alabama,,
"Butting USA",,"Pipe",Alabama,,
"Hwashin America",,"Automotive",Alabama,,
"Envision Cold Storage",,"Logistics/Cold Chain",Alabama,,
"Parsons Corporation",,"Defense/Tech",Alabama,,
"Ace Aeronautics",,"Aerospace/MRO",Alabama,,
"Kimberly-Clark",,"Paper/Consumer",Alabama,,
"Jasper Lumber",,"Wood/Forestry",Alabama,,
"Alabama State Port Authority",,"Logistics/Port",Alabama,,
"Owens Corning Corporation Prattville",,"Asphalt Shingle and Coating Materials Ma",Alabama,,
"Maximus Meats Summerdale",,"Meat Processing and Distribution",Alabama,,
"Butting USA Inc. Loxley",,"Pipe Manufacturing",Alabama,,
"Green Health Laboratories Foley",,"Testing Laboratories and Services",Alabama,,
"Wayne-Sanderson Farms Union Springs",,"Poultry Processing",Alabama,,
"Phoenix Building Solutions Greenville",,"Park Model Manufacturer",Alabama,,
"Hwashin America Corporation Greenville",,"Stamped Automotive Car Parts",Alabama,,
"Altex Packaging Inc. Anniston",,"Packaging - Wood and Plastic/Foam",Alabama,,
"Interstate Sheet Metal Anniston",,"Sheet Metal Work Manufacturing",Alabama,,
"AMZ Alabama Inc. Anniston",,"Armored Vehicle Manufacturing",Alabama,,
"Amazon Oxford",,"Distribution and Delivery",Alabama,,
"Kronospan Oxford",,"Engineered Wood Products",Alabama,,
"Doncasters Oxford",,"Investment Castings",Alabama,,
"Kobay Enstal Oxford",,"Automotive Metal Stamping",Alabama,,
"Bryant Machine Jacksonville",,"Machine Shop",Alabama,,
"Changer & Dresser Anniston",,"Welding and Soldering Equipment Manufact",Alabama,,
"JOON LLC (AJIN USA) Cusseta",,"Automotive Stamping",Alabama,,
"Tree Brand Packaging Ranburne",,"Wood Pallet Manufacturer",Alabama,,
"Hello Chonky Cookie Enterprise",,"Cookie Manufacturing",Alabama,,
"Constellium Muscle Shoals",,"Recycled Aluminum Products",Alabama,,
"Sims Bark Florala",,"Mulch Manufacturing",Alabama,,
"Aqua Technics (aka Aquatic Leisure) Opp",,"Fiberglass Swimming Pool Manufacturer",Alabama,,
"Tyson Garden City",,"Poultry Processing",Alabama,,
"Louisiana Pacific Cullman",,"OBS Board Manufacturer",Alabama,,
"Corrugated Supplies Corporation Cullman",,"Corrugated Packaging",Alabama,,
"Rusken Packaging Cullman",,"Corrugated Packaging",Alabama,,
"SRM Concrete Cullman",,"Ready-Mix Concrete Manufacturing",Alabama,,
"North Alabama Fabricating Company Cullman",,"Structural Metal",Alabama,,
"Cobra Metal Cullman",,"Metal Fabrication and Precision Machinin",Alabama,,
"RESRG Automotive Cullman",,"Plastic Injected Automotive Parts",Alabama,,
"Sovereign American Industries LLC Rainsville",,"Industrial Sewing",Alabama,,
"Nucor Vulcraft Group Fort Payne",,"Fabricated Structural Metal Manufacturin",Alabama,,
"Perdido River Farms/Poarch Band of Creek Indians Atmore",,"Meat Processing",Alabama,,
"SMD Steel Rainbow City",,"Plate Work Manufacturing",Alabama,,
"Choice Fabricators Rainbow City",,"Fabricated Metal Product Manufacturing",Alabama,,
"Omaha Track Attalla",,"Rail Tie Disposal",Alabama,,
"Pilgrims Russellville",,"Poultry Processing",Alabama,,
"Franklin Manufacturing Inc. Russellville",,"Fabricated Structural Metal Manufacturin",Alabama,,
"G&G Steel Inc. Russellville",,"Fabricated Structural Metal Manufacturin",Alabama,,
"Oldcastle Lawn & Garden Abbeville",,"Wood Mulch",Alabama,,
"Venture Milk LLC Cowarts",,"Milk Processing and Yogurt Processing",Alabama,,
"Qualico Webb",,"Steel Fabrication",Alabama,,
"Advance Displays Inc. Scottsboro",,"Wholesale Distribution Hub",Alabama,,
"Yamaha Motor Corporation USA Bridgeport",,"Marine Test and Development Facility",Alabama,,
"U.S. Steel Corporation Fairfield",,"Steel Making and Processing",Alabama,,
"Weelth Inc./TaxxWiz",,"Tax Prep Software Development",Alabama,,
"Valicor Environmental Services Adamsville",,"Sustainable Solutions for Waste Manageme",Alabama,,
"Stinson Breads LLC Opelika",,"Manufacturing Fresh and Frozen Bread",Alabama,,
"Oak Bowery Spirits LLC Opelika",,"Distillery",Alabama,,
"SCA Inc.",,"Plastics Product Manufacturing",Alabama,,
