"company_name","website","industry","Enrich Company","Name","Website","Employee Count","Size","Description","Industry","Url","Type","Country","Founded","Locality","Address - Locations","Last Refresh","Follower Count"
"TSMC","tsmc.com","Semiconductors","TSMC","TSMC","http://www.tsmc.com",24674,"10,001+ employees","Established in 1987, TSMC is the world's first dedicated semiconductor foundry. As the founder and a leader of the Dedicated IC Foundry segment, TSMC has built its reputation by offering advanced and ""More-than-Moore"" wafer production processes and unparalleled manufacturing efficiency. From its inception, TSMC has consistently offered the foundry segment's leading technologies and TSMC COMPATIBLE design services. 

TSMC has consistently experienced strong growth by building solid partnerships with its customers, large and small. IC suppliers from around the world trust TSMC with their manufacturing needs, thanks to its unique integration of cutting-edge process technologies, pioneering design services, manufacturing productivity and product quality. 

The company's total managed capacity reached above 9 million 12-inch equivalent wafers in 2015. TSMC operates three advanced 12-inch wafer fabs, four eight-inch wafer fabs, one six-inch wafer fab (fab 2) and two backend fabs (advanced backend fab 1 and 2). TSMC also manages two eight-inch fabs at wholly owned subsidiaries: WaferTech in the United States and TSMC China Company Limited. TSMC also obtains eight-inch wafer capacity from other companies in which the Company has an equity interest. 

TSMC is listed on the Taiwan Stock Exchange (TWSE) under ticker number 2330, and its American Depositary Shares trade on the New York Stock Exchange (NYSE) under the symbol ""TSM"".","Semiconductor Manufacturing","https://www.linkedin.com/company/tsmc","Public Company","TW",,"Hsinchu, Taiwan","8, Li-Hsin Rd. 6, Hsinchu Science Park, Hsinchu, Taiwan 300, TW","2026-02-03T14:14:17.468Z",811593
"Intel","intel.com","Semiconductors","Intel Corporation","Intel Corporation","http://www.intel.com",109582,"10,001+ employees","Our mission is to shape the future of technology to help create a better future for the entire world, that’s the power of Intel Inside. With more ingenuity and creativity inside, our work is at the heart of countless innovations. From major breakthroughs to things that make everyday life better— they’re all powered by Intel technology. With a career at Intel, you can help make the future more wonderful for everyone.

• Need help or have a support question? Visit Intel Support: http://ms.spr.ly/6054tmaop","Semiconductor Manufacturing","https://www.linkedin.com/company/intel-corporation","Public Company","US",,"Santa Clara, California","Robert Noyce Building, Santa Clara, California 95052, US","2026-02-03T17:20:19.590Z",4124994
"Samsung Foundry","samsung.com/semiconductor","Semiconductors","Samsung Electronics","Samsung Electronics","http://www.samsung.com",169919,"10,001+ employees","Samsung Electronics is a global leader in technology, opening new possibilities for people everywhere. Through relentless innovation and discovery, we are transforming the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, medical devices, semiconductors and LED solutions. Samsung is also leading in the Internet of Things space through, among others, our Smart Home and Digital Health initiatives. 

Since being established in 1969, Samsung Electronics has grown into one of the world’s leading technology companies, and become recognized as one of the top 10 global brands. Our network now extends across the world, and Samsung takes great pride in the creativity and diversity of its talented people, who drive our growth.  To discover more, please visit our website at www.samsung.com and our official newsroom at news.samsung.com","Computers and Electronics Manufacturing","https://www.linkedin.com/company/samsung-electronics","Public Company","KR",,"Suwon-Si, Gyeonggi-Do","129 Samsung-ro, Suwon-Si, Gyeonggi-Do 443-742, KR","2026-02-03T17:12:41.408Z",4968811
"GlobalFoundries","gf.com","Semiconductors","GlobalFoundries","GlobalFoundries","https://gf.com/",13736,"10,001+ employees","GlobalFoundries (GF) is one of the world’s leading semiconductor manufacturers. GF is redefining innovation and semiconductor manufacturing by developing and delivering feature-rich process technology solutions that provide leadership performance in pervasive high growth markets. GF offers a unique mix of design, development, and fabrication services. With a talented and diverse workforce and an at-scale manufacturing footprint spanning the U.S., Europe and Asia, GF is a trusted technology source to its worldwide customers. 

For more information, visit www.gf.com.
 
GlobalFoundries is an Equal Employment Opportunity/Affirmative Action (EEO/AA) employer.","Semiconductor Manufacturing","https://www.linkedin.com/company/globalfoundries","Public Company","US","2009","Malta, NY","400 Stone Break Road Extension, Malta, NY 12020, US","2026-02-03T16:57:12.815Z",293915
"Micron","micron.com","Semiconductors","Micron Technology","Micron Technology","http://www.micron.com",36087,"10,001+ employees","Micron is an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND and NOR memory and storage products through our Micron and Crucial brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence (AI) and compute-intensive applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience. To learn more about Micron Technology, Inc. (Nasdaq: MU), visit micron.com.","Semiconductor Manufacturing","https://www.linkedin.com/company/micron-technology","Public Company","US","1978","Boise, Idaho","8000 S Federal Way, Boise, Idaho 83706, US","2026-02-03T12:55:38.309Z",865740
"Texas Instruments","ti.com","Semiconductors","Texas Instruments","Texas Instruments","http://www.ti.com",32642,"10,001+ employees","We are a global semiconductor company that designs, manufactures and sells analog and embedded processing chips for markets such as industrial, automotive, personal electronics, enterprise systems and communications equipment. At our core, we have a passion to create a better world by making electronics more affordable through semiconductors. This passion is alive today as each generation of innovation builds upon the last to make our technology more reliable, more affordable and lower power, making it possible for semiconductors to go into electronics everywhere. Learn more at TI.com.","Semiconductor Manufacturing","https://www.linkedin.com/company/texas-instruments","Public Company","US",,"Dallas, TX","12500 T I Blvd, Dallas, TX 75243, US","2026-02-03T14:35:35.549Z",1092201
"Wolfspeed","wolfspeed.com","Semiconductors","Wolfspeed","Wolfspeed","http://www.wolfspeed.com",2540,"1,001-5,000 employees","Wolfspeed (NYSE: WOLF) leads the market in the worldwide adoption of silicon carbide technologies that power the world’s most disruptive innovations. As the pioneers of silicon carbide, and creators of the most advanced semiconductor technology on earth, we are committed to powering a better world for everyone. Through silicon carbide material, Power Modules, Discrete Power Devices and Power Die Products targeted for various applications, we will bring you The Power to Make It Real. Learn more at www.wolfspeed.com.

View our social media community guidelines: https://www.wolfspeed.com/legal/social-media-community-guidelines/","Semiconductor Manufacturing","https://www.linkedin.com/company/wolfspeed","Public Company","US","2015","Durham, North Carolina","4600 Silicon Dr, Durham, North Carolina 27703, US","2026-01-14T12:02:54.237Z",110591
"ON Semiconductor","onsemi.com","Semiconductors","onsemi","onsemi","http://www.onsemi.com",15317,"10,001+ employees","onsemi (Nasdaq: ON) is driving disruptive innovations to help build a better future. With a focus on automotive and industrial end-markets, the company is accelerating change in megatrends such as vehicle electrification and safety, sustainable energy grids, industrial automation, and 5G and cloud infrastructure. With a highly differentiated and innovative product portfolio, onsemi creates intelligent power and sensing technologies that solve the world’s most complex challenges and leads the way in creating a safer, cleaner, and smarter world. Learn more about onsemi at www.onsemi.com.","Semiconductor Manufacturing","https://www.linkedin.com/company/onsemi","Public Company","US",,"Scottsdale, Arizona","5701 N. Pima Rd, Scottsdale, Arizona 85250, US","2026-02-03T14:01:45.743Z",354773
"SK Hynix","skhynix.com","Semiconductors","SK hynix","SK hynix","http://www.skhynix.com",7757,"10,001+ employees","Semiconductors are essential to all IT products, and its performance often determines the performance of the final products. SK hynix is a global leader in producing semiconductor, such as DRAM, NAND Flash. With these technology driven semiconductor products, SK hynix consistently led the industry and is now the second largest memory chip maker. 

IT devices become more pervasive as new imaginative and innovative IT products continue to grab imagination and desires of consumers. SK hynix has enhanced its competency with the best level of technology and a wide range of business portfolios in order to satisfy all those demand from customers. As a member of SK Group*, SK hynix is aiming at becoming the world’s best semiconductor company. 



*SK Group is one of South Korea's top three industrial conglomerates.
It has about 198 affiliated companies, ranging from energy, telecommunications, finance, and construction.","Semiconductor Manufacturing","https://www.linkedin.com/company/sk-hynix","Public Company","KR",,"Icheon, Gyeonggi-do","2091 Gyeongchung-daero Bubal-eub, Icheon, Gyeonggi-do, KR","2026-02-03T16:44:42.028Z",210310
"ASML","asml.com","Semiconductors","ASML","ASML","https://www.asml.com",35659,"10,001+ employees","Who are we?

ASML is an innovation leader in the global semiconductor industry. We make machines that chipmakers use to mass produce microchips. Founded in 1984 in the Netherlands with just a handful of employees, we’ve now grown to over 40,000 employees, 143 nationalities and more than 60 locations around the world.

What do we do?

We provide chipmakers with hardware, software and services to mass produce patterns on silicon through lithography. Our lithography systems use ultraviolet light to create billions of tiny structures on silicon that together make up a microchip. We push our technology to new limits to enable our customers to create smaller, faster and more powerful chips.

Who are our people?

While you may think that only engineers and mathematicians work at ASML, you'll be surprised to find out that our people come from a wide variety of backgrounds. Across ASML, we have dedicated teams that manage customer support, communications and media, IT, software development and more. Every team in the company is essential for pushing our technology and the industry forward.

If you love to tackle challenges and innovate in a collaborative, supportive and inclusive environment with all the flexibility and freedom to unleash your full potential, ASML is the place to be.

Join us!","Semiconductor Manufacturing","https://www.linkedin.com/company/asml","Public Company","NL","1984","Veldhoven","De Run 6501, Veldhoven, 5504DR, NL","2026-02-03T13:39:17.752Z",932553
"Applied Materials","appliedmaterials.com","Semiconductors","Applied Materials","Applied Materials","http://www.appliedmaterials.com",30383,"10,001+ employees","Applied Materials is the leader in materials engineering solutions that are at the foundation of virtually every new semiconductor and advanced display in the world. The technology we create is essential to advancing AI and accelerating the commercialization of next-generation chips. At Applied, we push the boundaries of science and engineering to deliver material innovation that changes the world.


We look forward to engaging with you on compelling topics about the semiconductor industry. We want to hear from you, but offensive comments that create an unpleasant environment for our community will be removed. Thanks for your understanding.","Semiconductor Manufacturing","https://www.linkedin.com/company/applied-materials","Public Company","US","1967","Santa Clara, CA","3050 Bowers Avenue, Santa Clara, CA 95054, US","2026-02-03T14:41:39.529Z",607484
"Lam Research","lamresearch.com","Semiconductors","Lam Research","Lam Research","http://www.lamresearch.com",16369,"10,001+ employees","Lam Research Corp. (NASDAQ:LRCX) At Lam Research, we create equipment that drives technological advancements in the semiconductor industry. Our innovative solutions enable chipmakers to power progress in nearly all aspects of modern life, and it takes each member of our team to make it possible. 

Across our organization, our employees come to work and change the world. We take on the toughest challenges with precision and accuracy. We push for the next big semiconductor breakthrough. We lead the way in one of the most critical and fast-moving industries on the planet. And we do it together, with deep connections and limitless collaboration.

The impact we have on the world is made possible by focusing on our people. We recognize and celebrate our teams’ achievements. We strive to create an inclusive and diverse culture where everyone’s contribution and voice has value. We evaluate and evolve our offerings, so our people receive the support and empowerment to do meaningful things for their lives, careers, and communities. 

Because at Lam, we believe that when people are the priority and they’re inspired to unleash the power of innovation for a better world together, anything is possible. 

Ready to help define the future of technology? Join us: www.lamresearch.com/careers","Semiconductor Manufacturing","https://www.linkedin.com/company/lam-research","Public Company","US","1980","Fremont, CA","4650 Cushing Parkway, Fremont, CA 94538, US","2026-02-03T12:47:56.301Z",432754
"Tokyo Electron","tel.com","Semiconductors","Tokyo Electron","Tokyo Electron","https://www.tel.com",6023,"10,001+ employees","As a leading global company of innovative semiconductor production equipment, Tokyo Electron (TEL) engages in development, manufacturing, and sales in a wide range of product fields. All of TEL's semiconductor production equipment product lines maintain high market shares in their respective global segments. TEL provides outstanding products and services to customers through a global network in the U.S., Europe, and Asia.","Semiconductor Manufacturing","https://www.linkedin.com/company/tokyoelectron","Public Company","JP",,"Minato-ku, Tokyo","3-1 Akasaka 5-chome,, Akasaka Biz Tower, Minato-ku, Tokyo 1076325, JP","2026-01-14T08:12:47.591Z",55842
