company_name,website,slug
"Fratco","https://fratco.com","fratco"
"Aquatic Leisure Technologies","https://aquatechs.com","aquatic-leisure-technologies"
"SmartWiz","https://smartwiz.com","smartwiz"
"Pilgrims","https://pilgrims.com","pilgrims"
"Performance Drone Works","https://performancedroneworks.com","performance-drone-works"
"Envision Cold Storage","https://envisioncold.com","envision-cold-storage"
"Butting USA","https://butting.com","butting-usa"
"Bad Boy Mowers","https://badboycountry.com","bad-boy-mowers"
"Meta/Dotier","https://meta.com","meta-dotier"
"Core Scientific","https://corescientific.com","core-scientific"
"DAS North America","https://das-na.com","das-north-america"
"Hwashin America","https://hwashin.co.kr","hwashin-america"
"Alabama State Port Authority","https://asdd.com","alabama-state-port-authority"
"Owens Corning Corporation Prattville","https://owenscorning.com","owens-corning-corporation-prattville"
"Maximus Meats Summerdale","https://maximusmeats.com","maximus-meats-summerdale"
"Butting USA Inc. Loxley","https://butting.com","butting-usa-inc-loxley"
"Wayne-Sanderson Farms Union Springs","https://sandersonfarms.com","wayne-sanderson-farms-union-springs"
"Phoenix Building Solutions Greenville","https://phoenixbuildingsolutions.com","phoenix-building-solutions-greenville"
"Hwashin America Corporation Greenville","https://hwashin.co.kr","hwashin-america-corporation-greenville"
"Interstate Sheet Metal Anniston","https://meta.com","interstate-sheet-metal-anniston"
"AMZ Alabama Inc. Anniston","https://rheinmetall.com","amz-alabama-inc-anniston"
"Amazon Oxford","https://amazon.com","amazon-oxford"
"Kronospan Oxford","https://kronospan.com","kronospan-oxford"
"Bryant Machine Jacksonville","https://bryantmachine.com","bryant-machine-jacksonville"
"StrideBio","https://stridebio.com","stridebio"
"Tyson Garden City","https://tysonfoods.com","tyson-garden-city"
"JOON LLC (AJIN USA) Cusseta","https://ajinusa.com","joon-llc-ajin-usa-cusseta"
"Taysha Gene Therapies","https://tayshagtx.com","taysha-gene-therapies"
"Hello Chonky Cookie Enterprise","https://hellochonkycookie.com","hello-chonky-cookie-enterprise"
"Constellium Muscle Shoals","https://constellium.com","constellium-muscle-shoals"
"Aqua Technics (aka Aquatic Leisure) Opp","https://aquatechs.com","aqua-technics-aka-aquatic-leisure-opp"
"Louisiana Pacific Cullman","https://lpcorp.com","louisiana-pacific-cullman"
"SRM Concrete Cullman","https://srmconcrete.com","srm-concrete-cullman"
"North Alabama Fabricating Company Cullman","https://nafco.com","north-alabama-fabricating-company-cullman"
"Cobra Metal Cullman","https://meta.com","cobra-metal-cullman"
"Sovereign American Industries LLC Rainsville","https://sovereignamerican.com","sovereign-american-industries-llc-rainsville"
"Nucor Vulcraft Group Fort Payne","https://vulcraft.com","nucor-vulcraft-group-fort-payne"
"Choice Fabricators Rainbow City","https://choicefab.com","choice-fabricators-rainbow-city"
"Pilgrims Russellville","https://pilgrims.com","pilgrims-russellville"
"Franklin Manufacturing Inc. Russellville","https://franklinmfg.com","franklin-manufacturing-inc-russellville"
"G&G Steel Inc. Russellville","https://ggsteel.com","g-g-steel-inc-russellville"
"Andelyn Biosciences","https://andelynbio.com","andelyn-biosciences"
"Advance Displays Inc. Scottsboro","https://advancedisplays.com","advance-displays-inc-scottsboro"
"Venture Milk LLC Cowarts","https://venturemilk.com","venture-milk-llc-cowarts"
"Stinson Breads LLC Opelika","https://stinsonbreads.com","stinson-breads-llc-opelika"
"Qualico Webb","https://qualico.us","qualico-webb"
"Toyota Tsusho","https://toyota.com","toyota-tsusho"
"U.S. Steel Corporation Fairfield","https://ussteel.com","u-s-steel-corporation-fairfield"
"Weelth Inc./TaxxWiz","https://weelth.com","weelth-inc-taxxwiz"
"Hybird Space Systems","https://hybirdspace.com","hybird-space-systems"
"Oak Bowery Spirits LLC Opelika","https://oakboweryspirits.com","oak-bowery-spirits-llc-opelika"
"SCA Inc.","https://essity.com","sca-inc"
"Plasma Processes","https://plasmapros.com","plasma-processes"
"HL Mando America Corporation Opelika","https://hlmando.com","hl-mando-america-corporation-opelika"
"AGS America Inc. Opelika","https://ags-america.com","ags-america-inc-opelika"
"Korea Fuel Tech America Inc.","https://kftec.co.kr","korea-fuel-tech-america-inc"
"SEUNGWON USA Inc. Opelika","https://seungwon.co.kr","seungwon-usa-inc-opelika"
"Primo","https://primogrill.com","primo"
"Exalta (formally Intech/Turner Medical) Athens","https://exalta.com","exalta-formally-intech-turner-medical-athens"
"Daikyo Nishikawa USA Inc.","https://daikyonishikawa.co.jp","daikyo-nishikawa-usa-inc"
"A&G Holdings LLC Arab","https://agholdings.com","a-g-holdings-llc-arab"
"Evonik Theodore","https://evonik.com","evonik-theodore"
"SSAB Axis","https://ssab.com","ssab-axis"
"Master Boat Builders Inc. Coden","https://masterboatbuilders.com","master-boat-builders-inc-coden"
"Gulf Distributing","https://gulfdist.com","gulf-distributing"
"Guyoungtech USA Inc.","https://guyoungtech.com","guyoungtech-usa-inc"
"Delta Star","deltastar.com","delta-star"
"Hartzell Engine Technologies","https://hartzell.aero","hartzell-engine-technologies"
"AAA USA","https://aaa-usa.com","aaa-usa"
"Wolverine Industries","https://wolverineindustries.com","wolverine-industries"
"OCI Alabama LLC","https://oci-global.com","oci-alabama-llc"
"J.M. Smucker Co.","https://jmsmucker.com","j-m-smucker-co"
"Alabama River Cellulose (Georgia Pacific) Monroeville","https://gp.com","alabama-river-cellulose-georgia-pacific-monroeville"
"NVH Georgia LLC Phenix City","https://nvhgeorgia.com","nvh-georgia-llc-phenix-city"
"SoGo Packaging LLC","https://sogopackaging.com","sogo-packaging-llc"
"Bad Boy Mowers Monroeville","https://badboycountry.com","bad-boy-mowers-monroeville"
"Webster Fulfillment Monroeville","https://websterfulfillment.com","webster-fulfillment-monroeville"
"Browder Veneer Works Inc.","https://browderveneer.com","browder-veneer-works-inc"
"Ju-Young Manufacturing America Inc.","https://juyoung.co.kr","ju-young-manufacturing-america-inc"
"CIRG Industries","https://cirgindustries.com","cirg-industries"
"Dotier LLC (Meta)","https://meta.com","dotier-llc-meta"
"M&J Industries","https://mjind.com","m-j-industries"
"Pro-Fab Machine of Hartselle Hartselle","https://profabmachine.com","pro-fab-machine-of-hartselle-hartselle"
"Lear Corporation","https://lear.com","lear-corporation"
"Kite Pharma (Gilead)","https://kitepharma.com","kite-pharma-gilead"
"Jasper Lumber Company LLC Jasper","https://jasperlumber.com","jasper-lumber-company-llc-jasper"
"Buckner Trailers Springville","https://bucknertrailers.com","buckner-trailers-springville"
"Cooper Marine Inc. Calvert","https://coopermarine.com","cooper-marine-inc-calvert"
"TSA LLC Tuskegee Macon","https://tsallc.com","tsa-llc-tuskegee-macon"
"JW Holdings Dadeville","https://jwholdings.com","jw-holdings-dadeville"
"Jones Machine & Welding Oakman","https://jonesmachinewelding.com","jones-machine-welding-oakman"
"SCA Inc. Auburn Lee","https://essity.com","sca-inc-auburn-lee"
"J.M. Smucker Co. Decatur Morgan","https://jmsmucker.com","j-m-smucker-co-decatur-morgan"
"Eli Lilly Huntsville Limestone","https://lilly.com","eli-lilly-huntsville-limestone"
"AAA USA Mobile","https://aaa-usa.com","aaa-usa-mobile"
"Primo Mobile","https://primogrill.com","primo-mobile"
"Daikin America Decatur Morgan","https://daikin.com","daikin-america-decatur-morgan"
"OCI Alabama LLC Decatur Morgan","https://oci-global.com","oci-alabama-llc-decatur-morgan"
"Amazon Oxford Calhoun","https://amazon.com","amazon-oxford-calhoun"
"APM Terminals Mobile","https://apmterminals.com","apm-terminals-mobile"
"M&J Industries Decatur Morgan","https://mjind.com","m-j-industries-decatur-morgan"
"Qualico Webb Houston","https://qualico.us","qualico-webb-houston"
"GE Aerospace Auburn Lee","https://geaerospace.com","ge-aerospace-auburn-lee"
"Kimberly-Clark Mobile","https://kimberly-clark.com","kimberly-clark-mobile"
"Toyota Tsusho Huntsville Limestone","https://toyota-tsusho.com","toyota-tsusho-huntsville-limestone"
"Core Scientific Auburn Lee","https://corescientific.com","core-scientific-auburn-lee"
"SmartWiz Birmingham Jefferson","https://smartwiz.com","smartwiz-birmingham-jefferson"
"Dotier LLC (Meta) Montgomery","https://meta.com","dotier-llc-meta-montgomery"
"Gifthealth","https://gifthealth.com","gifthealth"
"KPPC Advanced Chemicals","https://kppc.com","kppc-advanced-chemicals"
"AbbVie","https://abbvie.com","abbvie"
"Packaging Specialties","https://packagingspecialties.com","packaging-specialties"
"Otto Aerospace","https://ottoaviation.com","otto-aerospace"
"Preciball USA","https://preciball.com","preciball-usa"
"BioTouch","https://biotouch.com","biotouch"
"Underwood Ammo","https://underwoodammo.com","underwood-ammo"
"Salesforce","https://salesforce.com","salesforce"
"Archer Aviation","https://archer.com","archer-aviation"
"AVAIO Digital Partners","https://avaio.com","avaio-digital-partners"
"SPP","https://spp.org","spp"
"R2S","https://r2s.com","r2s"
"Project Ladybug (Hypersonics)","https://ursamajor.space","project-ladybug-hypersonics"
"D-Wave Quantum","https://d-wave.com","d-wave-quantum"
"Dongwon Autopart Technology","https://dwat.co.kr","dongwon-autopart-technology"
"Grupo Vialume","https://vialume.com","grupo-vialume"
"Cronus Chemicals","https://cronuschemicals.com","cronus-chemicals"
"Caldwell Group","https://caldwellinc.com","caldwell-group"
"Steves & Sons","https://eveairmobility.com","steves-sons"
"John Deere","https://deere.com","john-deere"
"Panasonic","na.panasonic.com/us/energy","panasonic"
"SLB","https://slb.com","slb"
"Saronic Technologies","https://saronic.com","saronic-technologies"
"Prysmian/Encore Wire","prysmian.com","prysmian-encore-wire"
"Ampirical","https://ampirical.com","ampirical"
"GE Appliances","https://geappliances.com","ge-appliances"
"Sioux Honey","https://siouxhoney.com","sioux-honey"
"Shinsung ST USA","https://shinsungst.com","shinsung-st-usa"
"HF Rubber","https://hfrubber.com","hf-rubber"
"Morrison Weighing Systems","https://morrisonweighing.com","morrison-weighing-systems"
"GM Fairfax","https://gm.com","gm-fairfax"
"Robinson Inc","https://robinsoncompany.com","robinson-inc"
"Three Dog Brands","https://threedogbrands.com","three-dog-brands"
"MP Materials","https://mpmaterials.com/","mp-materials"
"AstraZeneca","https://astrazeneca.com","astrazeneca"
"DuPont/DDP","https://dupont.com","dupont-ddp"
"xAI","https://x.ai","xai"
"Canfor","https://canfor.com","canfor"
"Hut 8","https://hut8.com","hut-8"
"BWC Terminals","https://bwcterminals.com","bwc-terminals"
"MD Manufacturing 4.0","https://mdmanufacturing.com","md-manufacturing-4-0"
"Samsung Biologics","https://samsung.com","samsung-biologics"
"Environmental Air Systems","https://environmentalairsystems.com","environmental-air-systems"
"Switch","https://switch.com","switch"
"Toyota","https://toyota.com","toyota"
"SRC Technologies","https://srctec.com","src-technologies"
"Bozeman Photonics","https://bozemanphotonics.com","bozeman-photonics"
"CMP Advanced Mechanical Solutions","https://cmpams.com","cmp-advanced-mechanical-solutions"
"Eco King Solutions (Kingsun)","https://kingsun.com","eco-king-solutions-kingsun"
"Toshiba Energy","toshiba-energy.com","toshiba-energy"
"Sheetz","https://sheetz.com","sheetz"
"Maersk","https://maersk.com","maersk"
"FIT Precast","https://fitprecast.com","fit-precast"
"BJ's Wholesale Club","https://bjs.com","bj-s-wholesale-club"
"MRI Software","https://mrisoftware.com","mri-software"
"GEALAN","https://gealan.de","gealan"
"SencorpWhite","https://sencorpwhite.com","sencorpwhite"
"Novartis Gene Therapies","https://novartis.com","novartis-gene-therapies"
"AWS","https://aws.amazon.com","aws"
"Vultr","https://vultr.com","vultr"
"Whirlpool","https://whirlpool.com","whirlpool"
"Honda/LG Battery","https://honda.com","honda-lg-battery"
"Nestlé Purina","https://purina.com","nestl-purina"
"Smucker's","https://jmsmucker.com","smucker-s"
"New Horizons Baking","https://newhorizonsbaking.com","new-horizons-baking"
"Diversified Fall Protection","https://fallpd.com","diversified-fall-protection"
"Gabe's","https://gabesdiscount.com","gabe-s"
"Oculii","https://oculii.com","oculii"
"Supply Technologies","https://supplytech.com","supply-technologies"
"Lubrizol","https://lubrizol.com","lubrizol"
"Revere Plastics Systems","https://eveairmobility.com","revere-plastics-systems"
"La Linea Verde","https://lalineaverde.it","la-linea-verde"
"Joby Aviation (propeller blades)","https://jobyaviation.com","joby-aviation-propeller-blades"
"(Data center development)","https://eveairmobility.com","data-center-development"
"SkyWater Technology","skywatertechnology.com","skywater-technology"
"Kulicke & Soffa","kns.com","kulicke-soffa"
"STMicroelectronics","st.com","stmicroelectronics"
"Amkor Technology","amkor.com","amkor-technology"
"Encore Technologies","https://encoretg.com","encore-technologies"
"Becker Mining","https://bfrg.com","becker-mining"
"ATSG/AMES","https://atsginc.com","atsg-ames"
"DartPoints","https://dartpoints.com","dartpoints"
"Google","https://google.com","google"
"Quonset Business Park","https://quonset.com","quonset-business-park"
"Coastal Precast Systems","https://coastalprecast.com","coastal-precast-systems"
"U.S. Bridge","https://usbridge.com","u-s-bridge"
"Hydrite Chemical","https://hydrite.com","hydrite-chemical"
"Woodward","https://woodward.com","woodward"
"Mecad USA","https://mecad.com","mecad-usa"
"Span-America Medical","https://spanamerica.com","span-america-medical"
"Aran USA","https://aran.ie","aran-usa"
"Huwell US","https://huwell.com","huwell-us"
"JGB Brothers","https://jgbbrothers.com","jgb-brothers"
"Coastal Ready Mix","https://coastalreadymix.com","coastal-ready-mix"
"Samsung","https://samsung.com","samsung"
"Radiant","radiantnuclear.com","radiant"
"Embraer","https://embraer.com","embraer"
"Cascades Holding US Inc.","https://cascades.com","cascades-holding-us-inc"
"SPC Group","https://spcgroup.co.kr","spc-group"
"MGM/VanTran Transformers","https://gm.com","mgm-vantran-transformers"
"L&T Technology","https://ltts.com","l-t-technology"
"PEGATRON","https://pegatron.com","pegatron"
"Yerico Manufacturing","https://yerico.com","yerico-manufacturing"
"Furlani Foods, LLC","https://furlani.com","furlani-foods-llc"
"Ohio Gratings","https://ohiogratings.com","ohio-gratings"
"Associated Milk Producers, Inc.","https://oci-global.com","associated-milk-producers-inc"
"Meta House Inc.","https://meta.com","meta-house-inc"
"DB HiTek","dbhitek.com","db-hitek"
"WEG Transformers USA","weg.us","weg-transformers-usa"
"Niagara Power Transformer","niagarapowertransformer.com","niagara-power-transformer"
"Teradyne","teradyne.com","teradyne"
"d-Matrix","d-matrix.ai","d-matrix"
"bluebird bio","https://bluebirdbio.com","bluebird-bio"
"U.S. Space Command","https://spacecom.mil","u-s-space-command"
"Titomic USA Inc.","https://titomic.com","titomic-usa-inc"
"U.S. Steel","https://ussteel.com","u-s-steel"
"Green Health Laboratories Foley","https://greenhealthlabs.com","green-health-laboratories-foley"
"Kobay Enstal Oxford","https://ford.com","kobay-enstal-oxford"
"Changer & Dresser Anniston","https://changerdresser.com","changer-dresser-anniston"
"Corrugated Supplies Corporation Cullman","https://corrubox.com","corrugated-supplies-corporation-cullman"
"Perdido River Farms/Poarch Band of Creek Indians Atmore","https://pfrfarms.com","perdido-river-farms-poarch-band-of-creek-indians-atmore"
"Oldcastle Lawn & Garden Abbeville","https://abb.com","oldcastle-lawn-garden-abbeville"
"ArcelorMittal Calvert","https://arcelormittal.com","arcelormittal-calvert"
"Vaughn Industries","https://vaughnindustries.com","vaughn-industries"
"PRC-Saltillo","https://prc-saltillo.com","prc-saltillo"
"Logan Machine Works Phenix City","https://loganmachineworks.com","logan-machine-works-phenix-city"
"Nat 20 Scientific LLC Buhl","https://nat20scientific.com","nat-20-scientific-llc-buhl"
"Nelson Brothers LLC Parrish Walker","https://nelsonbros.com","nelson-brothers-llc-parrish-walker"
"InnovAsian","https://innovasiancuisine.com","innovasian"
"GE Aerospace Huntsville Limestone","https://geaerospace.com","ge-aerospace-huntsville-limestone"
"Pacific Life Insurance","https://pacificlife.com","pacific-life-insurance"
"Resilience","https://resilience.com","resilience"
"Virginia Transformer","https://vatransformer.com","virginia-transformer"
"GF Casting Solutions","https://gf.com","gf-casting-solutions"
"Roche Diagnostics","https://roche.com","roche-diagnostics"
"Louisiana-Pacific","https://lpcorp.com","louisiana-pacific"
"Dutch Bros","https://dutchbros.com","dutch-bros"
"Merck","https://merck.com","merck"
"Johns Manville Phenix City","https://jm.com","johns-manville-phenix-city"
"Scotiabank","https://scotiabank.com","scotiabank"
"Ninth Avenue Foods","https://ninthavefoods.com","ninth-avenue-foods"
"Veeco Instruments","veeco.com","veeco-instruments"
"MacLean Power Systems","macleanpower.com","maclean-power-systems"
"QuaLex Manufacturing","https://qualexmfg.com","qualex-manufacturing"
"Siemens Energy Gas","siemens-energy.com","siemens-energy-gas"
"Georg Utz","https://utzgroup.com","georg-utz"
"Ironline Metals","https://meta.com","ironline-metals"
"NanoAvionics","https://nanoavionics.com","nanoavionics"
"First Quality","https://firstquality.com","first-quality"
"Eurofins Lancaster Labs","https://eurofins.com","eurofins-lancaster-labs"
"Isuzu North America","https://isuzucv.com","isuzu-north-america"
"Iovance Biotherapeutics","https://iovance.com","iovance-biotherapeutics"
"Doncasters Oxford","https://ford.com","doncasters-oxford"
"Shinko Electric Industries","shinko.co.jp","shinko-electric-industries"
"Attabotics","attabotics.com","attabotics"
"Yaskawa Electric","yaskawa.co.jp","yaskawa-electric"
"Alfa Insurance Montgomery","https://alfainsurance.com","alfa-insurance-montgomery"
"CIRG Industries Montgomery","https://cirgindustries.com","cirg-industries-montgomery"
"Lightsource BP Montgomery","https://lightsourcebp.com","lightsource-bp-montgomery"
"Safe Industries","https://safeindustries.com","safe-industries"
"Atara Biotherapeutics","https://atarabio.com","atara-biotherapeutics"
"Ardentec","ardentec.com","ardentec"
"Edgar's Old Style Bakery Pelham","https://edgarsbakery.com","edgar-s-old-style-bakery-pelham"
"Rehlko (Kohler Energy)","rehlko.com","rehlko-kohler-energy"
"Prystup Packaging Products Livingston","https://prystup.com","prystup-packaging-products-livingston"
"Samkwang","https://samkwang.co.kr","samkwang"
"Rolls-Royce","https://rolls-royce.com","rolls-royce"
"Ansaldo Energia","ansaldoenergia.com","ansaldo-energia"
"Autolus Therapeutics","https://autolus.com","autolus-therapeutics"
"Microchip Technology","microchip.com","microchip-technology"
"Vishay Intertechnology","vishay.com","vishay-intertechnology"
