company_name,slug,industry,hq_state,website
"(Data center pipeline)","data-center-pipeline","Tech","South Dakota",
"2510 Good Hope LLC","2510-good-hope-llc","Construction","Wisconsin",
"AeroVironment","aerovironment","Defense","Utah",
"ALUKO Group","aluko-group","General Manufacturing","",
"AmeriLux International, LLC","amerilux-international-llc","General Manufacturing","Wisconsin",
"Anatolia Cabinet","anatolia-cabinet","General Manufacturing","Tennessee",
"Anchor","anchor","Defense","Virginia",
"Apple/Corning","apple-corning","Tech","Kentucky",
"Aqua Membranes","aqua-membranes","General Manufacturing","Tennessee",
"Ariat International","ariat-international","Consumer Products","Texas",
"Balcan USA Inc.","balcan-usa-inc","General Manufacturing","Wisconsin",
"Belmark Inc","belmark-inc","General Manufacturing","Wisconsin",
"Biederman","biederman","General Manufacturing","",
"Big Lift LLC","big-lift-llc","General Manufacturing","Wisconsin",
"Bionova","bionova","Life Sciences","Texas",
"BMK Pharma","bmk-pharma","Life Sciences","Texas",
"Brearly Street Property Group LLC","brearly-street-property-group-llc","Construction","Wisconsin",
"California Jobs First","california-jobs-first","General Manufacturing","California",
"Calpine","calpine","General Manufacturing","West Virginia",
"Cancoil USA","cancoil-usa","General Manufacturing","",
"Carlex Glass America","carlex-glass-america","General Manufacturing","Tennessee",
"Catalent","catalent","Life Sciences","Wisconsin",
"Catalent Pharma Solutions, LLC","catalent-pharma-solutions-llc","General Manufacturing","Wisconsin",
"CDF Distributors","cdf-distributors","General Manufacturing","Tennessee",
"Children's Museum of Rock County, Inc.","children-s-museum-of-rock-county-inc","Consumer Products","Wisconsin",
"ContiTech USA","contitech-usa","Chemicals","Iowa",
"Couleecap, Inc.","couleecap-inc","Construction","Wisconsin",
"DDP Specialty Electronic Materials","ddp-specialty-electronic-materials","Chemicals","Michigan",
"Degas, LLC","degas-llc","General Manufacturing","Wisconsin",
"Derse, Inc","derse-inc","General Manufacturing","Wisconsin",
"Dynamic Ratings, Inc.","dynamic-ratings-inc","General Manufacturing","Wisconsin",
