company_name,website,project_sector,project_state,industry,segment
Eli Lilly,https://lilly.com,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Modine Manufacturing,https://modine.com,,,Unknown,
Graham Corp,https://grahamcorp.com,,New York,Unknown,
Corning Optical Communications,,Tech/Fiber,North Carolina,Tech,"Communications, PNT & Connectivity"
KettenWulf,,Advanced Mfg,Alabama,General Manufacturing,
Bad Boy Mowers,,Advanced Mfg,Alabama,General Manufacturing,
Aquatic Leisure Technologies,,Advanced Mfg,Alabama,General Manufacturing,
SmartWiz,,Tech/AI,Alabama,Tech,AI & Machine Learning
ArcelorMittal,,Steel/Metals,Alabama,Metals & Materials,
Diageo,,Food & Bev,Alabama,Food & Beverage,
Wellborn Cabinet,,Advanced Mfg,Alabama,General Manufacturing,
Owens Corning,,Advanced Mfg,Alabama,General Manufacturing,
Fratco,,Advanced Mfg,Alabama,General Manufacturing,
U.S. Space Command,,Defense/Aerospace,Alabama,Defense,Defense Tech
Performance Drone Works,,Defense/Aerospace,Alabama,Defense,Defense Tech
Core Scientific,,Data Center,Alabama,Tech,AI & Machine Learning
Samkwang,,Automotive,Alabama,Automotive,
CPT America,,Automotive,Alabama,Automotive,
International Paper,,Paper/Pulp,Alabama,Forest Products,
Georgia Pacific/Alabama River Cellulose,,Paper/Pulp,Alabama,Forest Products,
Meta/Dotier,,Data Center,Alabama,Tech,AI & Machine Learning
Kronospan,,Wood Products,Alabama,Forest Products,
Pilgrims,,Food/Poultry,Alabama,Food & Beverage,
DAS North America,,Automotive,Alabama,Automotive,
Evonik,,Chemicals,Alabama,Chemicals,
U.S. Steel,,Steel/Metals,Alabama,Metals & Materials,
SSAB,,Steel,Alabama,Metals & Materials,
Constellium,,Aluminum,Alabama,Metals & Materials,
Butting USA,,Pipe,Alabama,Metals & Materials,
Hwashin America,,Automotive,Alabama,Automotive,
Envision Cold Storage,,Logistics/Cold Chain,Alabama,Logistics,
Parsons Corporation,,Defense/Tech,Alabama,Defense,Defense Tech
Ace Aeronautics,,Aerospace/MRO,Alabama,Space,Space Tech
Kimberly-Clark,,Paper/Consumer,Alabama,Forest Products,
Jasper Lumber,,Wood/Forestry,Alabama,Forest Products,
Alabama State Port Authority,,Logistics/Port,Alabama,Logistics,
Owens Corning Corporation Prattville,,Asphalt Shingle and Coating Materials Ma,Alabama,Construction,
Maximus Meats Summerdale,,Meat Processing and Distribution,Alabama,Food & Beverage,
Butting USA Inc. Loxley,,Pipe Manufacturing,Alabama,Metals & Materials,
Green Health Laboratories Foley,,Testing Laboratories and Services,Alabama,General Manufacturing,
Wayne-Sanderson Farms Union Springs,,Poultry Processing,Alabama,Food & Beverage,
Phoenix Building Solutions Greenville,,Park Model Manufacturer,Alabama,General Manufacturing,
Hwashin America Corporation Greenville,,Stamped Automotive Car Parts,Alabama,Automotive,
Altex Packaging Inc. Anniston,,Packaging - Wood and Plastic/Foam,Alabama,Forest Products,
Interstate Sheet Metal Anniston,,Sheet Metal Work Manufacturing,Alabama,Metals & Materials,
AMZ Alabama Inc. Anniston,,Armored Vehicle Manufacturing,Alabama,Defense,Defense Tech
Amazon Oxford,,Distribution and Delivery,Alabama,Logistics,
Kronospan Oxford,,Engineered Wood Products,Alabama,Forest Products,
Doncasters Oxford,,Investment Castings,Alabama,Metals & Materials,
Kobay Enstal Oxford,,Automotive Metal Stamping,Alabama,Metals & Materials,
Bryant Machine Jacksonville,,Machine Shop,Alabama,Industrial Equipment,
Changer & Dresser Anniston,,Welding and Soldering Equipment Manufact,Alabama,Metals & Materials,
JOON LLC (AJIN USA) Cusseta,,Automotive Stamping,Alabama,Automotive,
Tree Brand Packaging Ranburne,,Wood Pallet Manufacturer,Alabama,Forest Products,
Hello Chonky Cookie Enterprise,,Cookie Manufacturing,Alabama,Food & Beverage,
Constellium Muscle Shoals,,Recycled Aluminum Products,Alabama,Metals & Materials,
Sims Bark Florala,,Mulch Manufacturing,Alabama,Forest Products,
Aqua Technics (aka Aquatic Leisure) Opp,,Fiberglass Swimming Pool Manufacturer,Alabama,Tech,"Communications, PNT & Connectivity"
Tyson Garden City,,Poultry Processing,Alabama,Food & Beverage,
Louisiana Pacific Cullman,,OBS Board Manufacturer,Alabama,General Manufacturing,
Corrugated Supplies Corporation Cullman,,Corrugated Packaging,Alabama,Packaging,
Rusken Packaging Cullman,,Corrugated Packaging,Alabama,Packaging,
SRM Concrete Cullman,,Ready-Mix Concrete Manufacturing,Alabama,Construction,
North Alabama Fabricating Company Cullman,,Structural Metal,Alabama,Metals & Materials,
Cobra Metal Cullman,,Metal Fabrication and Precision Machinin,Alabama,Metals & Materials,
RESRG Automotive Cullman,,Plastic Injected Automotive Parts,Alabama,Chemicals,
Sovereign American Industries LLC Rainsville,,Industrial Sewing,Alabama,General Manufacturing,
Nucor Vulcraft Group Fort Payne,,Fabricated Structural Metal Manufacturin,Alabama,Metals & Materials,
Perdido River Farms/Poarch Band of Creek Indians Atmore,,Meat Processing,Alabama,Food & Beverage,
SMD Steel Rainbow City,,Plate Work Manufacturing,Alabama,General Manufacturing,
Choice Fabricators Rainbow City,,Fabricated Metal Product Manufacturing,Alabama,Metals & Materials,
Omaha Track Attalla,,Rail Tie Disposal,Alabama,Transportation,
Pilgrims Russellville,,Poultry Processing,Alabama,Food & Beverage,
Franklin Manufacturing Inc. Russellville,,Fabricated Structural Metal Manufacturin,Alabama,Metals & Materials,
G&G Steel Inc. Russellville,,Fabricated Structural Metal Manufacturin,Alabama,Metals & Materials,
Oldcastle Lawn & Garden Abbeville,,Wood Mulch,Alabama,Forest Products,
Venture Milk LLC Cowarts,,Milk Processing and Yogurt Processing,Alabama,Food & Beverage,
Qualico Webb,,Steel Fabrication,Alabama,Metals & Materials,
Advance Displays Inc. Scottsboro,,Wholesale Distribution Hub,Alabama,Logistics,
Yamaha Motor Corporation USA Bridgeport,,Marine Test and Development Facility,Alabama,Transportation,
U.S. Steel Corporation Fairfield,,Steel Making and Processing,Alabama,Metals & Materials,
Weelth Inc./TaxxWiz,,Tax Prep Software Development,Alabama,Financial Services,
Valicor Environmental Services Adamsville,,Sustainable Solutions for Waste Manageme,Alabama,General Manufacturing,
Stinson Breads LLC Opelika,,Manufacturing Fresh and Frozen Bread,Alabama,General Manufacturing,
Oak Bowery Spirits LLC Opelika,,Distillery,Alabama,Food & Beverage,
SCA Inc.,,Plastics Product Manufacturing,Alabama,Chemicals,
Miele Manufacturing Inc. Opelika,,"Cooking Appliances, Ovens and Range Cook",Alabama,Industrial Equipment,
Briggs & Stratton LLC,,Gasoline Engines,Alabama,Industrial Equipment,
HL Mando America Corporation Opelika,,Automotive - Supplier,Alabama,Automotive,
AGS America Inc. Opelika,,Motor Vehicle Parts Manufacturing,Alabama,General Manufacturing,
Korea Fuel Tech America Inc.,,Plastic Fuel Tanks,Alabama,Chemicals,
SEUNGWON USA Inc. Opelika,,Specialized Packaging Solutions,Alabama,Packaging,
Toyota Tsusho,,Solar Power Generation,Alabama,Energy,Clean Energy
Titomic USA Inc.,,Titanium Additive Coatings,Alabama,Metals & Materials,
Exalta (formally Intech/Turner Medical) Athens,,Medical Devices,Alabama,Life Sciences,Biotech & Life Sciences
Daikyo Nishikawa USA Inc.,,Automotive Parts Manufacturing,Alabama,Automotive,
TSA LLC Tuskegee,,Specialty Automotive Fabricator,Alabama,Metals & Materials,
CPT America LLC Tuskegee,,Steel-Stamping Automotive Parts Manufact,Alabama,Metals & Materials,
Plasma Processes,,Advanced Materials and Metal Coatings,Alabama,Metals & Materials,
L3Harris Technologies,,Rocket Engine Manufacturing,Alabama,Space,Space Tech
SEA Wire & Cable Madison,,Wire and Cable Distributor,Alabama,Metals & Materials,
SES Inc.,,Aircraft Integration,Alabama,General Manufacturing,
