company_name,website,state,sector,capex_millions,notes
ABB,abb.com,,,,US low-voltage switchgear capacity expansion; SEAM acquisition 2024; domestic production ramp
ASML,asml.com,Connecticut,,,$200M Connecticut expansion; 1000 new jobs; EUV monopoly; critical to all leading-edge fabs
Agility Robotics,https://www.agilityrobotics.com/,Oregon,,,RoboFab facility in Salem OR producing Digit; capacity for 10K units/year
Amkor Technology,amkor.com,Arizona,Semiconductors,7000,Korean; advanced packaging campus
Applied Materials,appliedmaterials.com,Arizona,,,$200M Arizona investment; $400M+ US expansion; Apple partnership; 6th consecutive growth year FY2025
Array Technologies,arraytechinc.com,New Mexico,,,100% domestic content trackers H1 2025; Albuquerque NM factory construction; #3 global tracker
Ballard Power,ballard.com,,,,Heavy-duty mobility fuel cells; transit bus + truck focus; European + China expansion
Beta Technologies,beta.team,Vermont,,,Charging network buildout; UPS partnership; Vermont manufacturing facility expansion
Blue Origin,https://blueorigin.com,Florida,,,New Titusville FL manufacturing facility (100 jobs); Central Texas ~$1B expansion planned
Boeing,https://www.boeing.com/,Kansas,,,$7M composite manufacturing expansion in Wichita KS
Boviet Solar,bovietsolar.com,North Carolina,,,3 GW North Carolina module + cell facility expansion Sept 2025; fully integrated US manufacturing
Canadian Solar,canadiansolar.com,Texas,,,3 US facilities: modules + cells + e-STORAGE; $3.2B backlog; 81 GWh storage pipeline; Texas expansio
Castelion,https://www.castelion.com/,New Mexico,Defense/Hypersonic,220,Project Ranger; 1000-acre campus; 21 buildings; solid rocket motors; $650M economic impact over deca
Centrus Energy,centrusenergy.com,Ohio,Energy/Nuclear,2000,Uranium enrichment expansion; 1000 construction jobs; multi-billion total
Coherent (II-VI),https://coherent.com,Pennsylvania,,,$1B investment from Denso/Mitsubishi; PA factory to 1M 150mm SiC equivalents by 2027; $33M CHIPS fun
Cyclic Materials,https://cyclicmaterials.earth/,Arizona,Battery/Recycling,20,Canadian; rare earth recycling
DB HiTek,dbhitek.com,,,,Image sensor expansion; machine vision/autonomous vehicles; high value-added focus
Eaton,eaton.com,Virginia,Power/Grid,50,Grid-to-chip AI data center power distribution; doubling Richmond footprint; GRID!
Electric Hydrogen,eh2.com,Texas,,,$220M+ raised; 1 GW/year stack production target; HIF Texas e-Fuels project supplier
Eli Lilly,https://lilly.com,Texas,Life Sciences,6500,First API manufacturing facility in TX; $5.5M TEF grant
Enel 3Sun,3sun.com,,,,€560M Sicily 3 GW gigafactory (Europe's largest); US 3 GW plant announced; HJT technology
Enel North America,enelnorthamerica.com,Texas,,,10+ GW US capacity; 1.3 GW Texas BESS; 520 MW/780 MWh operational storage; tripled TX capacity 2023
Enphase Energy,https://enphase.com/,,,,US microinverter manufacturing; IQ9 with GaN launching 2025; batteries + EV chargers; domestic conte
Entegris,entegris.com,Colorado,,,$1.4B total US investment; $700M R&D; $600M Colorado Springs manufacturing; Aurora IL tech center
Eos Energy,https://www.eose.com/,Pennsylvania,Battery/Clean Energy,353,HQ relocation + 432K sq ft manufacturing; $22M state investment
Eve Air Mobility,eveairmobility.com,,,,17 SEC filings; Embraer backing; $5B+ order backlog; US manufacturing planned
Firefly Aerospace,https://fireflyspace.com,Texas,,,"Doubled Briggs TX facility to 207,000 sq ft (Feb 2024); Rocket Ranch expansion"
First Solar,firstsolar.com,Alabama,,,$1.1B Alabama factory opened 2024 (3.5 GW); Louisiana $1.1B plant Q3 2025 (3.5 GW); Ohio 3 plants; 1
Form Energy,https://formenergy.com,Virginia,,,$900M+ Series E 2025; West Virginia gigafactory construction; 100+ hour storage; multi-day grid stor
GameChange Solar,gamechangesolar.com,,,,13.7 GW shipped 2024; US manufacturing; Genius Tracker; aggressive growth
GlobalFoundries,gf.com,New York,Semiconductors,12000,$15B facility + $12B expansion planned
Hanwha Qcells,https://www.hanwhaaerospace.com,Georgia,,,$2.5B Cartersville GA fully integrated (3.3 GW); 8.4 GW total GA capacity; only NA company with full
Hitachi Energy,hitachienergy.com,Virginia,Grid,457,Japanese; power transformer production; Deal of Year - GRID! 🔌
Intel,https://intel.com,Ohio,Semiconductor,28000,2 new fabs; avg salary $135K; 7K construction jobs; 10K indirect
JinkoSolar,jinkosolar.com,Florida,,,Jacksonville FL 2 GW module factory; $67M investment; 600 jobs; operational 2024
Kokusai Electric,kokusai-electric.com,,,,New US demo center; Toyama manufacturing expansion
LONGi Green Energy,longi.com,Ohio,,,Ohio module factory partnership announced Mar 2024; operations Q1 2025
Maxeon Solar,maxeon.com,,,,Premium IBC technology; US cell manufacturing plans; SunPower spinoff
Microchip Technology,microchip.com,Arizona,,,$162M CHIPS for Oregon + Colorado expansion; closing Tempe AZ Sept 2025; consolidating
Micron,micron.com,Multiple,Semiconductors,200000,Memory chips; 2 fabs ID + 4 fabs NY + VA expansion; CHIPS Act $6.4B
Modine Manufacturing,https://modine.com,,,,Data center cooling expansion - multiple US facilities
Neura Robotics,https://neura-robotics.com/,,,,€120M Series B for cognitive robots in logistics/care/manufacturing; US market expansion planned
Noveon Magnetics,https://noveon.co/,,,,$215M Series C led by OneIM ($200M) to expand US rare earth magnet manufacturing capacity
Oklo,oklo.com,Idaho,,,12 GW Switch data center deal through 2044; Idaho plant groundbreaking Sept 2025; $2B fuel developme
