Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes,FDI_Origin
Siemens Energy,siemens-energy.com,120,1000.0,Fort Payne,DeKalb,Alabama,Energy & Grid,2026-02,https://www.madeinalabama.com/2026/02/siemens-energy-plans-120-new-jobs-in-dekalb-county-in-u-s-expansion/,German; part of $1B US expansion; electrical components for generators - GRID,Germany
KettenWulf,kettenwulf.com,70,34,Auburn,Lee,Alabama,Advanced Manufacturing,2026-01,https://www.madeinalabama.com/2026/01/global-chain-manufacturer-kettenwulf-announces-new-manufacturing-operation-in-auburn/,German; conveyor chains/sprockets; 100 year old company,Germany
Eli Lilly,https://lilly.com,450,6000,Huntsville,Madison,Alabama,Life Sciences & Pharma,2025-12,https://www.madeinalabama.com/2025/12/pharmaceutical-giant-lilly-plans-6-billion-advanced-manufacturing-plant-in-huntsville/,Largest initial investment in AL history; orforglipron GLP-1,
Bad Boy Mowers,badboymowers.com,50,10.5,Monroeville,Monroe,Alabama,Advanced Manufacturing,2025-12,https://www.madeinalabama.com/2025/12/bad-boy-mowers-plans-10-5-million-tractor-plant-in-monroeville/,Tractor assembly; 9000/year production,
Southwire,southwire.com,85,176,Heflin,Cleburne,Alabama,Energy & Grid,2025-11,https://www.madeinalabama.com/2025/11/wire-manufacturer-plans-176-million-expansion-in-cleburne-county/,Wire/cable manufacturer; medium voltage - GRID,
Aquatic Leisure Technologies,aquatictechnologies.com,50,15,Opp,Covington,Alabama,Advanced Manufacturing,2025-11,https://www.madeinalabama.com/2025/11/aquatic-leisure-technologies-to-launch-first-u-s-manufacturing-facility-in-opp/,Australian; first US fiberglass pool manufacturing; production starting 2026,Australia
SmartWiz,smartwiz.co,66,0.125,Birmingham,Jefferson,Alabama,Technology,2025-10,https://www.madeinalabama.com/2025/10/fast-growing-ai-tax-software-firm-smartwiz-to-add-66-high-paying-jobs-in-birmingham/,AI tax software; IRS-approved provider,
ArcelorMittal,arcelormittal.com,700,1200,Calvert,Mobile,Alabama,Metals & Steel,2025-02,https://governor.alabama.gov/newsroom/2025/02/governor-ivey-announces-that-arcelormittal-plans-1-2-billion-alabama-mill-to-produce-electrical-steel/,Luxembourg; electrical steel for EVs/energy - GRID adjacent,
Diageo,diageo.com,100,415,Montgomery,Montgomery,Alabama,Food & Beverage,2025-01,https://www.madeinalabama.com/2025/01/diageo-north-america-plans-415-million-alabama-manufacturing-hub/,UK; Smirnoff/Captain Morgan production hub,United Kingdom
Wellborn Cabinet,wellborn.com,400,17,Oxford,Clay,Alabama,Advanced Manufacturing,2025-10,https://www.madeinalabama.com/2025/10/wellborn-cabinet-celebrates-opening-of-new-alabama-cabinet-plant-targets-400-jobs/,"New cabinet plant opened Oct 2025; 2,000 cabinets/day capacity; 60 acres",
Owens Corning,owenscorning.com,100,200,Prattville,Autauga,Alabama,Advanced Manufacturing,2025-09,https://www.madeinalabama.com/2025/09/owens-corning-to-open-state-of-the-art-shingle-manufacturing-facility-in-prattville/,New shingle manufacturing facility; production starting 2027; Sept 2025 announcement,
Northrop Grumman,https://northropgrumman.com,200,92,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/northrop-grumman-expansion-huntsville/,Missile defense systems; two expansions,
Performance Drone Works,performancedronesinc.com,525,9.1,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/performance-drone-works-huntsville/,Drone manufacturing,
Core Scientific,corescientific.com,40,424,Auburn,Lee,Alabama,Data Centers,2025,https://www.madeinalabama.com/2025/core-scientific-auburn-data-center/,Multi-tenant data center,
Samkwang,samkwang.com,240,35,Tuskegee,Macon,Alabama,Automotive & EV,2025,https://www.madeinalabama.com/2025/samkwang-tuskegee/,Korean; injection-molded automotive parts,South Korea
CPT America,cpt.de,187,163,Tuskegee,Macon,Alabama,Automotive & EV,2025,https://www.madeinalabama.com/2025/cpt-america-tuskegee/,Steel-stamping automotive parts,
International Paper,internationalpaper.com,150,250,Selma,Dallas,Alabama,Paper & Forest Products,2025,https://businessalabama.com/international-paper-to-invest-250m-in-selma-mill/,Mill expansion; part of consolidation from GA plant closures; modernization investment,
GE Aerospace,https://www.geaerospace.com/,94,57.3,Auburn/Huntsville,Lee/Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/ge-aerospace-alabama/,Multiple expansions; carbon composites + parts,
Georgia Pacific/Alabama River Cellulose,gp.com,3000,800,Monroeville,Monroe,Alabama,Paper & Forest Products,2025,https://news.gp.com/2025/09/georgia-pacific-announces-800-million-capital-investment-in-alabama-river-cellulose-mill,Same as Georgia Pacific entry - major cellulose mill modernization,
Meta/Dotier,meta.com,70,800,Montgomery,Montgomery,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Data storage facility,
Kronospan,kronospan.com,125,350,Oxford,Calhoun,Alabama,Paper & Forest Products,2025,https://www.madeinalabama.com/2023/05/kronospan-plans-350-million-alabama-expansion-for-osb-production/,OSB manufacturing expansion; $1B+ total investment since 2008; 600 total employees,
Pilgrims,pilgrims.com,260,90,Russellville,Franklin,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Poultry processing expansion,
DAS North America,das-na.com,101,78,Montgomery,Montgomery,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; automotive supplier,South Korea
Evonik,evonik.com,100,177,Theodore,Mobile,Alabama,Chemicals & Materials,2025,https://www.madeinalabama.com/2022/02/evonik-plans-to-invest-176-5-million-in-alabama-expansion-project/,German; specialty chemicals DL-methionine expansion; 750 existing employees; sustainability focus,Germany
U.S. Steel,spacecom.mil,44,75,Fairfield,Jefferson,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Steel making and processing,
SSAB,ssab.com,12,75,Axis,Mobile,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Swedish; steel,Sweden
Constellium,constellium.com,48,69,Muscle Shoals,Colbert,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,French; recycled aluminum,France
Butting USA,butting.com,110,62,Loxley,Baldwin,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,German; pipe manufacturing,Germany
Hwashin America,hwashin.co.kr,40,60,Greenville,Butler,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; stamped automotive parts,South Korea
Envision Cold Storage,envision-group.com,82,64,Boaz,Marshall,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Cold storage facility,
Parsons Corporation,parsons.com,198,5,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Intelligence services,
Ace Aeronautics,aceaeronautics.com,189,4.25,Guntersville,Marshall,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,MRO rotorcraft,
Kimberly-Clark,kimberly-clark.com,29,137,Mobile,Mobile,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Paper manufacturing,
Jasper Lumber,jasperlumber.com,100,95,Jasper,Walker,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Lumber expansion,
Alabama State Port Authority,gp.com,25,94,Montgomery,Montgomery,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Inland port facility,
Owens Corning Corporation Prattville,owenscorning.com,89,200,Prattville,Autauga,Alabama,Chemicals & Materials,2025,https://www.madeinalabama.com/2025/09/owens-corning-to-open-state-of-the-art-shingle-manufacturing-facility-in-prattville/,New shingle manufacturing facility; production starting 2027; Sept 2025 announcement,
Maximus Meats Summerdale,maximusmeats.com,38,16.8,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Butting USA Inc. Loxley,butting.com,110,61.7,,,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,Germany
Green Health Laboratories Foley,greenhealthlabs.com,50,3.5,,,Alabama,Life Sciences & Pharma,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Wayne-Sanderson Farms Union Springs,sandersonfarms.com,100,10.7,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Phoenix Building Solutions Greenville,,40,5.0,,,Alabama,Consumer Goods,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Hwashin America Corporation Greenville,hwashin.co.kr,40,60.1,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,South Korea
Altex Packaging Inc. Anniston,altexpackaging.com,36,8.0,,,Alabama,Packaging,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Interstate Sheet Metal Anniston,,27,2.1,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
AMZ Alabama Inc. Anniston,,50,22.0,,,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Amazon Oxford,amazon.com,70,15.0,,,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Kronospan Oxford,kronospan.com,125,350,Oxford,Calhoun,Alabama,Paper & Forest Products,2025,https://www.madeinalabama.com/2023/05/kronospan-plans-350-million-alabama-expansion-for-osb-production/,OSB manufacturing expansion; $1B+ total investment since 2008; 600 total employees,
Doncasters Oxford,,76,7.0,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Kobay Enstal Oxford,,70,12.0,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Bryant Machine Jacksonville,,12,3.2,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Changer & Dresser Anniston,,18,3.5,,,Alabama,Advanced Manufacturing,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
JOON LLC (AJIN USA) Cusseta,,15,3.4,,,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Tree Brand Packaging Ranburne,,45,20.0,,,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,
Hello Chonky Cookie Enterprise,,20,10.0,,,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,New,
Constellium Muscle Shoals,constellium.com,48,68.8,,,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Expansion,France
