Company,Website,Jobs,Capex_M,Location,County,State,Sector,Date,URL,Notes
Siemens Energy,siemens-energy.com,120,1000.0,Fort Payne,DeKalb,Alabama,Energy & Grid,2026-02,https://www.madeinalabama.com/2026/02/siemens-energy-plans-120-new-jobs-in-dekalb-county-in-u-s-expansion/,German; part of $1B US expansion; electrical components for generators - GRID
KettenWulf,kettenwulf.com,70,34,Auburn,Lee,Alabama,Advanced Manufacturing,2026-01,https://www.madeinalabama.com/2026/01/global-chain-manufacturer-kettenwulf-announces-new-manufacturing-operation-in-auburn/,German; conveyor chains/sprockets; 100 year old company
Eli Lilly,https://lilly.com,450,6000,Huntsville,Madison,Alabama,Life Sciences & Pharma,2025-12,https://www.madeinalabama.com/2025/12/pharmaceutical-giant-lilly-plans-6-billion-advanced-manufacturing-plant-in-huntsville/,Largest initial investment in AL history; orforglipron GLP-1
Bad Boy Mowers,badboymowers.com,50,10.5,Monroeville,Monroe,Alabama,Advanced Manufacturing,2025-12,https://www.madeinalabama.com/2025/12/bad-boy-mowers-plans-10-5-million-tractor-plant-in-monroeville/,Tractor assembly; 9000/year production
Southwire,southwire.com,85,176,Heflin,Cleburne,Alabama,Energy & Grid,2025-11,https://www.madeinalabama.com/2025/11/wire-manufacturer-plans-176-million-expansion-in-cleburne-county/,Wire/cable manufacturer; medium voltage - GRID
Aquatic Leisure Technologies,aquatictechnologies.com,,,Opp,Covington,Alabama,Advanced Manufacturing,2025-11,https://www.madeinalabama.com/2025/11/aquatic-leisure-technologies-to-launch-first-u-s-manufacturing-facility-in-opp/,Australian; fiberglass pools; first US facility
SmartWiz,smartwiz.co,66,0.125,Birmingham,Jefferson,Alabama,Technology,2025-10,https://www.madeinalabama.com/2025/10/fast-growing-ai-tax-software-firm-smartwiz-to-add-66-high-paying-jobs-in-birmingham/,AI tax software; IRS-approved provider
ArcelorMittal,arcelormittal.com,700,1200,Calvert,Mobile,Alabama,Metals & Steel,2025-02,https://governor.alabama.gov/newsroom/2025/02/governor-ivey-announces-that-arcelormittal-plans-1-2-billion-alabama-mill-to-produce-electrical-steel/,Luxembourg; electrical steel for EVs/energy - GRID adjacent
Diageo,diageo.com,100,415,Montgomery,Montgomery,Alabama,Food & Beverage,2025-01,https://www.madeinalabama.com/2025/01/diageo-north-america-plans-415-million-alabama-manufacturing-hub/,UK; Smirnoff/Captain Morgan production hub
Wellborn Cabinet,wellborn.com,400,,Ashland,Clay,Alabama,Advanced Manufacturing,2025-10,https://www.madeinalabama.com/2025/10/wellborn-cabinet-celebrates-opening-of-new-alabama-cabinet-plant-targets-400-jobs/,New cabinet plant opening
Owens Corning,owenscorning.com,100,,Prattville,Autauga,Alabama,Advanced Manufacturing,2025-09,https://www.madeinalabama.com/2025/09/owens-corning-to-open-state-of-the-art-shingle-manufacturing-facility-in-prattville/,Shingle manufacturing
Fratco,fratco.com,60,,Fort Payne,DeKalb,Alabama,Advanced Manufacturing,2025-10,https://www.madeinalabama.com/2025/10/fratco-breaks-ground-on-fort-payne-pipe-plant-creating-60-jobs/,Pipe manufacturing
U.S. Space Command,spacecom.mil,1312,,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/newsroom/2025/01/governor-ivey-statement-on-u-s-space-command-headquarters/,Federal HQ; massive job impact
Northrop Grumman,https://northropgrumman.com,200,92,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/northrop-grumman-expansion-huntsville/,Missile defense systems; two expansions
Performance Drone Works,performancedronesinc.com,525,9.1,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/performance-drone-works-huntsville/,Drone manufacturing
Core Scientific,corescientific.com,40,424,Auburn,Lee,Alabama,Data Centers,2025,https://www.madeinalabama.com/2025/core-scientific-auburn-data-center/,Multi-tenant data center
Samkwang,samkwang.com,240,35,Tuskegee,Macon,Alabama,Automotive & EV,2025,https://www.madeinalabama.com/2025/samkwang-tuskegee/,Korean; injection-molded automotive parts
CPT America,cpt.de,187,163,Tuskegee,Macon,Alabama,Automotive & EV,2025,https://www.madeinalabama.com/2025/cpt-america-tuskegee/,Steel-stamping automotive parts
International Paper,internationalpaper.com,,260,Selma,Dallas,Alabama,Paper & Forest Products,2025,https://www.madeinalabama.com/2025/international-paper-selma-expansion/,Renewable fiber-based products expansion
GE Aerospace,https://www.geaerospace.com/,94,57.3,Auburn/Huntsville,Lee/Madison,Alabama,Aerospace & Defense,2025,https://www.madeinalabama.com/2025/ge-aerospace-alabama/,Multiple expansions; carbon composites + parts
Georgia Pacific/Alabama River Cellulose,gp.com,,800,Monroeville,Monroe,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Major expansion
Meta/Dotier,meta.com,70,800,Montgomery,Montgomery,Alabama,Data Centers,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Data storage facility
Kronospan,kronospan.com,,200,Oxford,Calhoun,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Engineered wood products
Pilgrims,pilgrims.com,260,90,Russellville,Franklin,Alabama,Food & Beverage,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Poultry processing expansion
DAS North America,das-na.com,101,78,Montgomery,Montgomery,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; automotive supplier
Evonik,evonik.com,,78,Theodore,Mobile,Alabama,Chemicals & Materials,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,German; specialty chemicals
U.S. Steel,spacecom.mil,44,75,Fairfield,Jefferson,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Steel making and processing
SSAB,ssab.com,12,75,Axis,Mobile,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Swedish; steel
Constellium,constellium.com,48,69,Muscle Shoals,Colbert,Alabama,Metals & Steel,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,French; recycled aluminum
Butting USA,butting.com,110,62,Loxley,Baldwin,Alabama,Infrastructure,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,German; pipe manufacturing
Hwashin America,hwashin.co.kr,40,60,Greenville,Butler,Alabama,Automotive & EV,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Korean; stamped automotive parts
Envision Cold Storage,envision-group.com,82,64,Boaz,Marshall,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Cold storage facility
Parsons Corporation,parsons.com,198,5,Huntsville,Madison,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Intelligence services
Ace Aeronautics,aceaeronautics.com,189,4.25,Guntersville,Marshall,Alabama,Aerospace & Defense,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,MRO rotorcraft
Kimberly-Clark,kimberly-clark.com,29,137,Mobile,Mobile,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Paper manufacturing
Jasper Lumber,jasperlumber.com,,95,Jasper,Walker,Alabama,Paper & Forest Products,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Lumber expansion
Alabama State Port Authority,gp.com,25,94,Montgomery,Montgomery,Alabama,Logistics & Distribution,2025,https://governor.alabama.gov/assets/2026/01/DCOM-0592-FY26-MIA-New-Expanding-Industry-2025-Announcements-JAN2026-FNL-1.pdf,Inland port facility
