company_slug,valid_signal_code,signal_score,messaging_hook
4d-molecular-therapeutics,INVESTMENT_PLAN_ANNOUNCED,7,"In-house 3K sq ft gene therapy manufacturing; multiple programs in pipeline from single facility."
a123-systems,SITE_SEARCH,9,"JLL hired for 3rd North American facility — location TBD."
aavantgarde-bio,FUNDING_LADDER,5,"$141M Series B (Nov 2025); currently using CDMO for manufacturing."
abeona-therapeutics,REGULATORY_MILESTONE,8,"ZEVASKYN approved Dec 2025; commercial launch underway from 6K sq ft Cleveland facility."
affinia-therapeutics,FUNDING_LADDER,5,"$40M Series C (Oct 2025); cardiovascular gene therapy pipeline advancing."
allogene-therapeutics,INVESTMENT_PLAN_ANNOUNCED,7,"118K sq ft Cell Forge 1 built; allogeneic model where one production run serves 100+ patients."
andelyn-biosciences,SERIAL_EXPANDER,6,"Gene therapy CDMO with multiple facility locations; spun out of Nationwide Children's."
anduril-industries,CONTRACT_WIN,8,"$1B+ counter-UAS contract win (Dec 2024)."
anduril-industries,FUNDING_LADDER,8,"$1.5B raised at $8B+ valuation (Aug 2024)."
arcellx,OEM_PARTNER,6,"Kite/Gilead partnership for anito-cel; Phase 3 for multiple myeloma."
atara-biotherapeutics,INVESTMENT_PLAN_ANNOUNCED,6,"Building $55M 90K sq ft allogeneic CAR-T facility in Thousand Oaks."
capricor-therapeutics,REGULATORY_MILESTONE,6,"Deramiocel for DMD addressing CRL; passed FDA inspection; small San Diego facility."
capsida-biotherapeutics,OEM_PARTNER,7,"Fully integrated in-house manufacturing; partnered with CRISPR Therapeutics and AbbVie."
cellectis,US_ENTITY_FORMATION,5,"French company with GMP facilities in both Paris and Raleigh NC."
commonwealth-fusion,PRODUCT_SUCCESS,7,"SPARC magnet milestone achieved; advancing toward commercial fusion reactors."
encoded-therapeutics,REGULATORY_MILESTONE,7,"ETX101 has RMAT designation for Dravet syndrome; GMP facility built in RTP NC."
fate-therapeutics,INVESTMENT_PLAN_ANNOUNCED,6,"In-house iPSC manufacturing facility; renewable cell source for off-the-shelf therapies."
forge-biologics,INVESTMENT_PLAN_ANNOUNCED,7,"Building 200K+ sq ft 'The Hearth' CDMO facility; serving multiple gene therapy clients."
form-energy,FUNDING_LADDER,8,"$450M Series E (Oct 2024); iron-air battery technology for grid storage."
immatics,US_ENTITY_FORMATION,7,"German company with 100K sq ft US manufacturing facility in Houston; TCR-T for solid tumors."
instil-bio,INVESTMENT_PLAN_ANNOUNCED,5,"70K sq ft LA facility for TIL therapy; CoStAR-TIL platform in development."
iovance-biotherapeutics,REGULATORY_MILESTONE,7,"AMTAGVI approved Feb 2024; 136K sq ft Philadelphia facility operational."
jaguar-gene-therapy,INVESTMENT_PLAN_ANNOUNCED,8,"$125M manufacturing facility under construction in RTP NC; 200 jobs planned."
legend-biotech,INVESTMENT_PLAN_ANNOUNCED,8,"CARVYKTI approved; $500M J&J partnership doubling Raritan NJ capacity."
neurogene,INVESTMENT_PLAN_ANNOUNCED,7,"State-of-the-art in-house facility in Houston; NGN-401 for Rett syndrome advancing."
regenxbio,REGULATORY_MILESTONE,8,"RGX-121 PDUFA Feb 8 2026; fully in-house end-to-end manufacturing in single facility."
replimune,REGULATORY_MILESTONE,7,"RP1 BLA resubmitted for melanoma; single in-house Framingham facility."
rocket-pharmaceuticals,REGULATORY_MILESTONE,7,"Kresladi BLA resubmitted; PDUFA Q1 2026; multiple gene therapies from single NJ facility."
sangamo-therapeutics,REGULATORY_MILESTONE,7,"ST-920 BLA rolling submission Dec 2025; hybrid model with Brisbane facility + Thermo CDMO."
spirovant-sciences,REGULATORY_MILESTONE,6,"First CF patient dosed Nov 2024; novel inhaled AAV gene therapy approach."
stoke-therapeutics,OEM_PARTNER,5,"Biogen partnership for zorevunersen; antisense oligonucleotide platform."
stridebio,OEM_PARTNER,6,"In-house 1000L manufacturing in RTP; platform partnerships with CRISPR Tx, Takeda, Sarepta."
taysha-gene-therapies,INVESTMENT_PLAN_ANNOUNCED,7,"$75M Durham NC facility built; single manufacturing site for entire CNS pipeline."
tenaya-therapeutics,INVESTMENT_PLAN_ANNOUNCED,7,"In-house manufacturing center in Union City CA; cardiac gene therapy focus."
tune-therapeutics,FUNDING_LADDER,6,"$175M Series B (Jan 2025); TEMPO epigenetic editing platform with LNP delivery."
ultragenyx,REGULATORY_MILESTONE,8,"DTX401 BLA submitted Jan 2026; multiple gene therapies manufactured at single Novato facility."
viralgen,INVESTMENT_PLAN_ANNOUNCED,6,"Spain-based AAV CDMO; 7 single-use suites; cGMP certified for commercial production."
