Company,Website,HQ Location,Employee Count,Ownership,Ticker,Founded,Parent Company,NAICS,Segment,Tier,Signal Type,Signal,Signal Date,Score,Source URL,Messaging Hook,Notes
Machina Labs,https://machinalabs.ai/,Los Angeles CA,,Private,,,2019,,Defense/Aerospace Manufacturing,A,Event,"$124M Series C + building 200K sqft Intelligent Factory for missile structures and airframes",Feb 2026,10,https://www.axios.com/2026/02/04/machina-labs-seriesc-intelligent-factory,"Your $124M raise and Intelligent Factory build signal rapid defense manufacturing scale-up — considering additional locations as you grow?",AI-powered robotic sheet metal; RoboCraftsman
Apptronik,https://apptronik.com/,Austin TX,,Private,,,2016,,Humanoid Robots,A,Event,"$350M Series A (Google-backed) + $5B valuation + leasing new space to ramp Apollo production",Feb 2025,10,https://www.reuters.com/technology/apptronik-raises-350-million-scale-production-humanoid-robots-2025-02-13/,"Your $350M raise and production ramp for Apollo humanoids signals massive scaling — as manufacturing expands have you evaluated sites beyond Austin?",UT Austin spinout; Mercedes partnership
Figure AI,https://www.figure.ai/,San Jose CA,,Private,,,2022,,Humanoid Robots,A,Event,"$1B+ Series C at $39B valuation + BotQ manufacturing facility buildout",Sep 2025,9,https://www.figure.ai/news/series-c,"Your $1B raise and BotQ manufacturing buildout position you as humanoid leader — considering production expansion beyond California?",NVIDIA/Microsoft/Bezos backed; BMW partnership
RobCo,https://www.robco.de/,Munich Germany,,Private,,,2020,,Industrial Automation (RaaS),A,Event,"$100M Series C + US expansion (SF HQ + Austin manufacturing)",Jan 2026,9,https://theaiinsider.tech/2026/01/30/robco-raises-100m-in-series-c-funding-to-scale-its-autonomous-industrial-robotics-platform/,"Your $100M raise and US expansion signal rapid growth — as you scale beyond Austin have you considered Midwest manufacturing regions?",Robot-as-a-Service; Physical AI
Teradyne Robotics,https://www.universal-robots.com/,Wixom MI,,Public,TER,2005,Teradyne,Cobots / AMRs,A,Event,"New US Operations Hub opening in Wixom MI (Metro Detroit) in 2026",Dec 2025,8,https://www.universal-robots.com/news-and-media/news-center/new-us-operations-hub-to-open-in-2026/,"Your new Detroit-area hub shows US manufacturing commitment — as cobot demand grows are additional US sites planned?",Universal Robots + MiR
Agility Robotics,https://www.agilityrobotics.com/,Corvallis OR,,Private,,,2015,,Humanoid Robots (Logistics),A,Event,"RoboFab facility in Salem OR producing Digit; capacity for 10K units/year",2023-2025,7,https://spectrum.ieee.org/agility-humanoid-robotics-factory,"Your RoboFab facility and Amazon/GXO partnerships show strong demand — planning additional production capacity?",Oregon State spinout; Amazon partnership
Boston Dynamics,https://bostondynamics.com/,Waltham MA,,Private,,,1992,Hyundai,Mobile Robots (Spot/Atlas),A,Event,"Hyundai investing $26B in US including tens of thousands of Boston Dynamics robots",Apr 2025,7,https://bostondynamics.com/news/boston-dynamics-hyundai-motor-group-expand-collaboration-drive-mobility-manufacturing-innovation/,"Hyundai's major US investment signals production scale-up — are new manufacturing facilities planned for Spot and Atlas?",MIT spinout; Spot commercial
Physical Intelligence,https://www.physicalintelligence.company/,San Francisco CA,,Private,,,2024,,AI/Foundation Models,A,Event,"$400M raised for robotic brain AI; building foundation models for physical AI across hardware platforms",2025,7,https://www.marionstreetcapital.com/insights/the-robotics-industry-funding-landscape-2025,"Your $400M raise to build robotic foundation models signals rapid scaling — as you deploy across hardware partners will you need physical infrastructure?",Jeff Bezos + OpenAI backed
Neura Robotics,https://neura-robotics.com/,Metzingen Germany,,Private,,,2019,,Cognitive Robots,A,Event,"€120M Series B for cognitive robots in logistics/care/manufacturing; US market expansion planned",2025,6,https://www.marionstreetcapital.com/insights/the-robotics-industry-funding-landscape-2025,"Your €120M raise for cognitive robots signals expansion — considering US manufacturing presence?",German; MAiRA humanoid
Chang Robotics,https://www.changrobotics.com/,Multiple US,,Private,,,Unknown,,Healthcare/Industrial Robotics,A,Event,"$50M Chang Robotics Fund + expansion to fourth US operational site",Apr 2025,6,https://www.roboticstomorrow.com/news/2025/04/28/chang-robotics-announces-major-us-manufacturing-push-50m-fund-launch-and-breakthrough-innovations-for-2025/24650/,"Your $50M fund and fourth US site show commitment to domestic manufacturing — where is the next expansion?",Healthcare + industrial robotics
Orchard Robotics,https://www.orchardrobotics.ai/,Unknown,,Private,,,Unknown,,Agricultural Robotics,A,Event,"$22M Series A (oversubscribed) for AI-based farming technology",Sep 2025,6,https://pulse2.com/orchard-robotics-22-million-raised-to-transform-precision-agriculture/,"Your $22M raise for orchard automation signals growth — as you scale have you considered manufacturing expansion?",Quiet Capital + Shine Capital led
Symbotic,https://www.symbotic.com/,Wilmington MA,,Public,SYM,2007,,Warehouse Automation,B,Event,"SoftBank JV (GreenBox Systems) + Walmart $520M investment + acquired Walmart robotics division for $200M",2023-2025,6,https://www.symbotic.com/about/news-events/news/softbank-group-and-symbotic-establish-new-warehouse-as-a-service-joint-venture-to-transform-supply-chain-services-through-automation-and-a-i/,"Your SoftBank JV and Walmart investment signal massive warehouse automation scale-up — expanding manufacturing capacity?",AI-enabled warehouse robotics
ABB Robotics,https://new.abb.com/,Auburn Hills MI,,Public,ABBN.SW,1988,ABB,Industrial Robots,B,Event,"Michigan factory expanded 2023; first global robotics OEM manufacturing in US; $20M investment",Nov 2023,5,https://new.abb.com/news/detail/100845/abb-to-expand-robotics-factory-in-us,"Your US manufacturing expansion shows commitment to domestic production — with reshoring accelerating are additional capacity investments planned?",Swiss parent; SIX Swiss Exchange
Locus Robotics,https://locusrobotics.com/,Wilmington MA,,Private,,,2014,,Warehouse AMRs,B,Event,"New HQ construction in Wilmington; expanding globally; FedEx and major 3PL deployments",2023-2025,5,https://www.bostonglobe.com/2023/07/26/business/locus-launches-work-new-hq-wilmington/,"Your new HQ and global expansion show AMR demand growing — planning US production capacity expansion?",LocusONE platform; 100M+ units picked
Rockwell Automation,https://www.rockwellautomation.com/,Milwaukee WI,,Public,ROK,1903,,Industrial Automation,B,Event,"New manufacturing facility announced Nov 2025 featuring advanced automation and robotics",Nov 2025,5,https://www.fool.com/investing/stock-market/market-sectors/information-technology/robotics-stocks/,"Your new manufacturing facility showcases automation leadership — as US reshoring grows are additional facilities planned?",FactoryTalk software
FANUC America,https://www.fanucamerica.com/,Rochester Hills MI,,Private,,,1982,FANUC,Industrial Robots / Cobots,B,Tailwind,"Major US headquarters in Michigan; serving growing automation demand from reshoring and labor shortages; cobot market expanding 15%+ CAGR",Ongoing,5,https://www.fanucamerica.com/about-us,"Your CRX cobots address labor shortage challenges — as US manufacturing grows are you expanding domestic production?",Japanese parent; Tokyo listed
Yaskawa America,https://www.yaskawa.com/,Miamisburg OH,,Private,,,1989,Yaskawa Electric,Industrial Robots / Cobots,B,Tailwind,"Major Ohio presence; Motoman robot manufacturing for North America; reshoring driving automation demand",Ongoing,4,https://www.yaskawa.com/,"Your Ohio manufacturing serves US automation demand — with reshoring accelerating are capacity expansions planned?",Japanese parent; Motoman brand
KUKA,https://www.kuka.com/,Shelby Township MI,,Private,,,1898,Midea,Industrial Robots,B,Tailwind,"Michigan presence; German heritage; serving automotive and EV manufacturing growth",Ongoing,4,https://www.kuka.com/,"Your automotive robotics expertise positions you for EV manufacturing growth — expanding US capacity?",German; Chinese (Midea) owned
Berkshire Grey,https://www.berkshiregrey.com/,Bedford MA,,Private,,,2013,,Warehouse Picking Robots,B,Tailwind,"Operating in major retail/logistics customers; AI-powered picking for e-commerce growth",Ongoing,4,https://www.berkshiregrey.com/,"Your AI picking systems serve major retailers — as e-commerce automation demand grows are you scaling manufacturing?",SoftBank-backed; went private 2024
Serve Robotics,https://www.serverobotics.com/,Los Angeles CA,,Public,SERV,2021,,Delivery Robots,B,Tailwind,"Operating last-mile delivery fleet; Uber partnership; NVIDIA-backed; delivery labor shortage driving demand",Ongoing,4,https://www.serverobotics.com/,"Your Uber partnership and NVIDIA backing signal delivery robot scale-up — planning manufacturing expansion?",Uber spinout; sidewalk delivery
