company_name,slug,industry,hq_state,website
"(Data center pipeline)","data-center-pipeline","Tech","South Dakota",
"2510 Good Hope LLC","2510-good-hope-llc","Construction","Wisconsin",
"AeroVironment","aerovironment","Defense","Utah",https://www.aerovironment.com
"ALUKO Group","aluko-group","General Manufacturing","",https://aluko.com
"AmeriLux International, LLC","amerilux-international-llc","General Manufacturing","Wisconsin",https://ameriluxinternational.com
"Anatolia Cabinet","anatolia-cabinet","General Manufacturing","Tennessee",https://anatoliagraniteandmarble.com
"Anchor","anchor","Defense","Virginia",https://www.anchori.com
"Apple/Corning","apple-corning","Tech","Kentucky",https://www.corning.com
"Aqua Membranes","aqua-membranes","General Manufacturing","Tennessee",https://aquamembranes.com
"Ariat International","ariat-international","Consumer Products","Texas",https://www.ariat.com
"Balcan USA Inc.","balcan-usa-inc","General Manufacturing","Wisconsin",https://balcaninnovations.com
"Belmark Inc","belmark-inc","General Manufacturing","Wisconsin",https://www.belmark.com
"Biederman","biederman","General Manufacturing","",https://biederman.ca
"Big Lift LLC","big-lift-llc","General Manufacturing","Wisconsin",
"Bionova","bionova","Life Sciences","Texas",https://bionovascientific.com
"BMK Pharma","bmk-pharma","Life Sciences","Texas",
"Brearly Street Property Group LLC","brearly-street-property-group-llc","Construction","Wisconsin",
"California Jobs First","california-jobs-first","General Manufacturing","California",
"Calpine","calpine","General Manufacturing","West Virginia",https://www.calpine.com
"Cancoil USA","cancoil-usa","General Manufacturing","",https://www.cancoil.com
"Carlex Glass America","carlex-glass-america","General Manufacturing","Tennessee",https://www.carlex.com
"Catalent","catalent","Life Sciences","Wisconsin",https://www.catalent.com
"Catalent Pharma Solutions, LLC","catalent-pharma-solutions-llc","General Manufacturing","Wisconsin",https://www.catalent.com
"CDF Distributors","cdf-distributors","General Manufacturing","Tennessee",https://www.cdfdistributors.com
"Children's Museum of Rock County, Inc.","children-s-museum-of-rock-county-inc","Consumer Products","Wisconsin",https://kidsatplayrc.com
